station_id,STATION,NAME,lat,lng,Color,Hex,Branch,Blue,Brown,Green,Orange,Pink,Purple,Red,Yellow
41260,Austin-Lake,Austin,41.887293,-87.774135,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
41270,43rd,43rd,41.816462,-87.619021,Green ,#009b3a,Cottage Grove - 63rd,No,No,Yes,No,No,No,No,No
41280,Jefferson Park,Jefferson Park,41.970634,-87.760892,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
41290,Kimball,Kimball,41.967901,-87.713065,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
41300,Loyola,Loyola,42.001073,-87.661061,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
41310,Paulina,Paulina,41.943623,-87.670907,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
41320,Belmont-North Main,Belmont,41.939751,-87.65338,Red Brown Purple,#9C9C9C,Mixed,No,No,Yes,No,No,Yes,Yes,No
41330,Montrose-O'Hare,Montrose,41.961539,-87.743574,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
41340,LaSalle,LaSalle,41.875568,-87.631722,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
41350,Oak Park-Lake,Oak Park,41.886988,-87.793783,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
41360,California-Lake,California,41.88422,-87.696234,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
41380,Bryn Mawr,Bryn Mawr,41.983504,-87.65884,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
41400,Rosemont,Rosemont,41.983507,-87.859388,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
41410,Chicago-Milwaukee,Chicago,41.896075,-87.655214,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
41420,Addison-North Main,Addison,41.947428,-87.653626,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
41430,87th,87th,41.735372,-87.624717,Red ,#c60c30,95th,No,No,No,No,No,No,Yes,No
41440,Addison-Brown,Addison,41.947028,-87.674642,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
41450,Chicago-State,Chicago,41.896671,-87.628176,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
41460,Irving Park-Ravenswood,Irving Park,41.954521,-87.674868,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
41480,Western-Ravenswood,Western,41.966163,-87.688502,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
41490,Harrison,Harrison,41.874039,-87.627479,Red ,#c60c30,Loop,No,No,No,No,No,No,Yes,No
41500,Montrose-Ravenswood,Montrose,41.961756,-87.675047,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
41510,Morgan,Morgan,41.885586,-87.652193,Green Pink,#9C9C9C,Mixed,No,No,Yes,No,Yes,No,No,No
41660,Lake/State,Lake,41.884809,-87.627813,Red ,#c60c30,Loop,No,No,No,No,No,No,Yes,No
41670,Conservatory,Conservatory,41.884904,-87.716523,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
41680,Oakton-Skokie,Oakton,42.02624348,-87.74722084,Yellow ,#f9e300,Skokie,No,No,No,No,No,No,No,Yes
41690,Cermak-McCormick Place,Cermak ,41.853115,-87.626402,Green ,#009b3a,Cottage Grove - 63rd,No,No,Yes,No,No,No,No,No
41700,Washington-Wabash,Washington-Wabash,41.88322,-87.626189,Brown Green Orange Pink Purple,#9C9C9C,Loop,No,Yes,Yes,Yes,Yes,Yes,No,No
41710,Damen-Lake,Damen,41.885017,-87.676903,Green,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
